Ant_ID,colony,colony_act,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,period1to2,group_period3,period2to3,group_period4,period3to4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
Ant294,4,1,294,199.06,330,146,F,F,same,F,same,F,same,0,34.5455,0.363636,0.81818182,6.5454545,471.54545,0
Ant475,4,1,475,220.656,330,0,F,F,same,NA,NA,NA,NA,1.27273,3.18182,0.636364,29.909091,113.63636,441.27273,0.09091
Ant149,4,1,149,184.978,337,52,F,F,same,NA,NA,NA,NA,0.818182,8.54545,0,3.9090909,29.363636,765.45455,0
Ant207,4,1,207,201.911,337,0,C,C,same,N,switch,C,switch,58.5455,0.0909091,3,128.45455,238.45455,195.90909,5.545
Ant298,4,1,298,137,344,0,C,F,switch,F,same,NA,NA,251,0.181818,9.90909,125.54545,171.27273,108.63636,1.909
Ant131,4,1,131,139.058,344,24,F,NA,NA,NA,NA,NA,NA,1.36364,118.091,0.363636,8.3636364,66.818182,476.81818,0.09091
Ant332,4,1,332,145.602,344,25,F,F,same,NA,NA,NA,NA,0.363636,7.18182,0,1.2727273,9.9090909,301.18182,0
Ant23,4,1,23,157.623,344,28,F,F,same,F,same,F,same,2.09091,7.36364,1.63636,26,99.909091,394.72727,0.5455
Ant518,4,1,518,162.693,344,12,F,F,same,F,same,F,same,14.2727,19.1818,5.90909,22,106.63636,330.63636,0.09091
Ant217,4,1,217,164.305,344,43,F,F,same,NA,NA,NA,NA,0.363636,10.4545,0,5.3636364,54.636364,492.27273,0
Ant19,4,1,19,172.012,344,0,F,F,same,F,same,F,same,6.36364,0.727273,1.45455,52.727273,144.63636,212.90909,0.5455
Ant243,4,1,243,187.963,344,0,C,C,same,C,same,F,switch,95.6364,0,8.54545,135.63636,182.54545,76.181818,6.455
Ant530,4,1,530,131.795,351,21,F,F,same,NA,NA,NA,NA,0.363636,79.2727,0,8.4545455,67.181818,521.27273,0.09091
Ant113,4,1,113,142.077,351,0,C,F,switch,NA,NA,NA,NA,27.2727,0.272727,11.7273,45.727273,153.72727,476.81818,0.7273
Ant176,4,1,176,142.443,351,36,F,F,same,F,same,F,same,2.18182,4.09091,0,4.2727273,41,355.54545,0
Ant91,4,1,91,143.265,351,98,F,NA,NA,NA,NA,NA,NA,1.18182,261.545,0,6.5454545,46,645,0
Ant324,4,1,324,148.003,351,9,F,F,same,F,same,NA,NA,0.272727,3.18182,0,5,64.727273,420.81818,0
Ant76,4,1,76,149.967,351,25,F,F,same,F,same,F,same,15.5455,28,5.09091,13.545455,74.454545,396.90909,0
Ant60,4,1,60,172.177,351,0,C,F,switch,F,same,F,same,42.2727,1.36364,3.45455,53.727273,132.90909,197.81818,0.3636
Ant218,4,1,218,172.699,351,0,N,C,switch,C,same,C,same,75.1818,0,1.18182,164.81818,129.27273,34.454545,6.636
Ant540,4,1,540,148.93,372,0,C,C,same,N,switch,N,same,85.9091,0,0.0909091,97.272727,126.81818,86.545455,1.091
Ant7,4,1,7,155.955,372,0,C,C,same,C,same,NA,NA,146.727,0.272727,0.0909091,105.09091,91.181818,43.272727,2.273
Ant260,4,1,260,236.053,400,0,F,F,same,F,same,NA,NA,3.81818,32.6364,1.63636,28.818182,137.72727,927.27273,0.3636
Ant318,4,1,318,202.082,463,60,F,NA,NA,NA,NA,NA,NA,0,4.27273,0,0.63636364,10.454545,810.81818,0
Ant219,4,1,219,286.895,1453,0,Q,Q,same,Q,same,Q,same,76.8182,0,0.0909091,303.63636,77.090909,10.090909,0
Ant260,18,2,260,152.735,0,0,N,N,same,NA,NA,NA,NA,150.455,0.818182,19.3636,814.18182,193.09091,49.090909,14
Ant97,18,2,97,137.441,14,0,N,N,same,NA,NA,NA,NA,209.909,0,2.36364,458.18182,76.454545,18.181818,3
Ant52,18,2,52,148.122,14,0,N,N,same,N,same,N,same,978.545,0,13.8182,445.09091,31,5.2727273,16.91
Ant32,18,2,32,169.118,14,0,N,N,same,N,same,NA,NA,167.909,0.181818,2.27273,562.81818,101,23.727273,5.455
Ant142,18,2,142,169.567,14,0,N,NA,NA,NA,NA,NA,NA,544.909,5.72727,17.7273,337,71,22.545455,6.545
Ant105,18,2,105,170.558,14,0,N,N,same,N,same,NA,NA,89,1.09091,12.7273,854.81818,93.545455,17.272727,82.27
