"","Ant4","Ant260","Ant52","Ant540","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant518","Ant0","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant115","Ant117","Ant127","Ant137","Ant139","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant492","Ant501","Ant507","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant23",4,25,1,2,3,14,15,0,31,8,30,0,9,0,10,0,3,16,0,11,20,1,0,7,2,2,12,5,19,9,2,5,14,1,22,6,15,1,3,0,8,1,0,9,1,0,5,1,3,1,1,0,0,3,7,0,19,1,0,8,11,16,21,0,2,1,3,1,1,6,1,10,2,4,6,20,8
"Ant27",6,7,3,6,4,3,7,0,36,14,2,4,4,0,1,1,7,15,1,12,5,0,7,0,8,8,22,20,7,5,8,4,5,1,1,2,13,2,3,3,5,2,0,6,0,6,1,1,3,2,3,0,9,1,2,0,17,1,10,25,1,7,4,0,8,7,5,5,1,4,3,2,1,8,4,9,5
"Ant29",3,3,12,12,2,7,6,0,4,2,7,0,1,0,2,5,11,5,3,1,1,5,2,8,0,1,10,1,7,5,7,22,6,1,4,2,13,2,3,6,12,7,3,7,0,1,18,5,7,1,0,2,0,9,3,0,2,2,0,6,3,3,9,0,9,6,2,1,8,1,2,1,2,25,12,8,6
"Ant32",0,23,0,0,0,0,2,1,8,3,4,11,6,32,15,0,0,32,0,24,11,1,2,8,1,0,3,11,16,0,1,1,12,12,0,6,4,0,2,1,0,0,1,0,0,20,0,0,0,0,0,0,14,0,0,24,0,0,21,24,16,24,14,0,14,0,1,6,1,8,0,5,0,0,4,1,1
"Ant42",10,4,3,10,8,15,9,0,7,2,6,0,2,0,2,4,18,1,0,9,12,3,12,22,10,3,0,0,24,11,7,8,11,7,5,3,19,5,6,1,11,5,1,7,0,1,13,3,4,3,2,3,0,2,3,0,1,1,0,11,3,5,15,0,16,0,1,7,8,14,3,2,1,8,14,14,17
"Ant43",0,4,0,0,0,0,3,1,21,0,0,14,5,12,9,0,0,15,0,7,8,0,5,20,1,11,0,0,3,2,0,3,5,19,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14,0,0,24,0,0,24,16,13,14,13,0,0,0,0,0,2,22,0,6,0,0,0,4,0
"Ant44",10,16,3,4,0,1,8,72,7,10,15,2,0,23,2,1,10,1,1,10,9,1,19,7,7,16,24,3,0,5,13,6,18,3,4,3,12,5,6,7,4,1,6,4,1,0,3,6,5,0,2,2,4,8,1,2,1,1,8,17,0,1,8,1,5,2,8,6,2,13,0,1,1,9,9,5,22
"Ant55",2,16,1,1,5,6,1,0,7,15,10,0,3,0,3,3,4,13,1,7,14,1,9,5,5,0,11,2,5,0,2,23,11,6,6,4,3,4,6,0,6,1,1,3,0,0,2,1,4,1,5,1,0,3,8,0,8,1,0,3,0,4,9,0,17,1,5,9,6,10,11,9,2,8,4,24,9
"Ant63",10,1,10,4,9,1,8,0,5,0,0,0,0,0,2,3,8,0,9,0,7,0,2,8,7,1,7,0,13,2,0,8,2,1,1,0,10,10,15,0,26,5,2,4,2,0,24,2,13,0,2,12,0,11,3,0,0,0,0,3,0,0,3,0,9,2,0,0,4,0,5,1,6,22,6,5,12
"Ant97",9,7,2,8,14,6,9,1,11,10,8,0,2,4,1,5,12,11,2,9,18,1,5,4,22,1,8,3,6,23,8,0,7,1,3,7,10,2,16,2,9,4,0,4,5,2,10,8,4,4,1,1,1,4,6,3,3,2,9,2,0,7,7,1,20,1,7,15,6,7,4,10,1,40,5,10,7
