,"colony,date,ant_id,x,y,file_name,ant_type"
286,"N2,8/15/12,4,1322.41489,331.776596,4209,1"
287,"N2,8/15/12,4,1331.35106,322.840426,4201,1"
288,"N2,8/15/12,5,1281.56383,576.882979,5960,1"
289,"N2,8/15/12,5,1268.79787,597.308511,5955,1"
290,"N2,8/15/12,5,1253.47872,584.542553,5943,1"
291,"N2,8/15/12,5,1208.79787,539.861702,5861,1"
292,"N2,8/15/12,5,1231.7766,539.861702,5853,1"
293,"N2,8/15/12,5,1249.64894,528.37234,5841,1"
294,"N2,8/15/12,5,1259.8617,468.37234,5811,1"
295,"N2,8/15/12,5,1266.24468,436.457447,5799,1"
296,"N2,8/15/12,5,1263.69149,414.755319,5779,1"
297,"N2,8/15/12,5,1277.73404,399.43617,5764,1"
298,"N2,8/15/12,5,1287.94681,372.62766,5750,1"
299,"N2,8/15/12,5,1332.62766,363.691489,5737,1"
300,"N2,8/15/12,5,1316.03192,348.37234,5731,1"
301,"N2,8/15/12,5,1331.35106,329.223404,5717,1"
302,"N2,8/15/12,6,1355.60638,419.861702,5306,1"
303,"N2,8/15/12,6,1361.98936,407.095745,5296,1"
304,"N2,8/15/12,6,1295.60638,398.159574,5261,1"
305,"N2,8/15/12,6,1286.67021,372.62766,5242,1"
306,"N2,8/15/12,6,1301.98936,363.691489,5240,1"
307,"N2,8/15/12,6,1299.43617,324.117021,5217,1"
308,"N2,8/15/12,6,1324.96809,329.223404,5212,1"
309,"N2,8/15/12,6,1314.75532,321.56383,5211,1"
310,"N2,8/15/12,7,1333.90426,382.840426,7048,1"
311,"N2,8/15/12,7,1336.45745,364.968085,7008,1"
312,"N2,8/15/12,7,1310.92553,331.776596,6990,1"
313,"N2,8/15/12,7,1322.41489,324.117021,6981,1"
314,"N2,8/15/12,7,1328.79787,326.670213,6979,1"
315,"N2,8/15/12,8,1273.90426,196.457447,5546,1"
316,"N2,8/15/12,8,1261.1383,200.287234,5538,1"
317,"N2,8/15/12,8,1281.56383,211.776596,5522,1"
318,"N2,8/15/12,8,1262.41489,215.606383,5512,1"
319,"N2,8/15/12,8,1284.11702,234.755319,5489,1"
320,"N2,8/15/12,8,1266.24468,244.968085,5481,1"
321,"N2,8/15/12,8,1279.01064,261.56383,5476,1"
322,"N2,8/15/12,8,1584.11702,108.37234,5464,1"
323,"N2,8/15/12,8,1284.11702,264.117021,5467,1"
324,"N2,8/15/12,9,1321.1383,359.861702,7544,1"
325,"N2,8/15/12,9,1319.8617,324.117021,7527,1"
326,"N2,8/15/12,10,1653.05319,416.031915,8882,1"
327,"N2,8/15/12,10,1312.20213,371.351064,8800,1"
328,"N2,8/15/12,10,1294.32979,371.351064,8796,1"
329,"N2,8/15/12,10,1318.58511,334.329787,8779,1"
330,"N2,8/15/12,10,1322.41489,329.223404,8773,1"
331,"N2,8/15/12,130,1304.13636,326.911483,6670,2"
332,"N2,8/15/12,130,1257.62919,338.9689,6611,2"
333,"N2,8/15/12,130,1264.51914,382.0311,6589,2"
334,"N2,8/15/12,130,1255.9067,382.0311,6582,2"
335,"N2,8/15/12,130,1224.90191,447.485646,6555,2"
336,"N2,8/15/12,130,1145.66746,447.485646,6515,2"
337,"N2,8/15/12,130,1159.44737,450.930622,6496,2"
338,"N2,8/15/12,130,1183.5622,404.423445,6465,2"
339,"N2,8/15/12,130,1212.8445,394.088517,6420,2"
340,"N2,8/15/12,130,1219.73445,421.648325,6404,2"
341,"N2,8/15/12,130,1261.07416,430.260766,6368,2"
342,"N2,8/15/12,130,1273.13158,399.255981,6323,2"
343,"N2,8/15/12,130,1304.13636,399.255981,5869,2"
344,"N2,8/15/12,130,1307.58134,383.753589,5851,2"
345,"N2,8/15/12,130,1292.07895,380.308612,5838,2"
346,"N2,8/15/12,130,1281.74402,387.198565,5824,2"
347,"N2,8/15/12,130,1317.91627,356.19378,5779,2"
348,"N2,8/15/12,137,1305.85885,328.633971,7555,2"
349,"N2,8/15/12,137,1262.79665,345.858852,7543,2"
350,"N2,8/15/12,137,1285.189,356.19378,7527,2"
351,"N2,8/15/12,137,1285.189,380.308612,7471,2"
352,"N2,8/15/12,137,1335.14115,354.471292,7445,2"
353,"N2,8/15/12,137,1438.49043,531.88756,7324,2"
354,"N2,8/15/12,137,1385.0933,426.815789,7282,2"
355,"N2,8/15/12,137,1324.80622,428.538278,7265,2"
356,"N2,8/15/12,137,1323.08373,507.772727,7224,2"
357,"N2,8/15/12,137,1314.47129,521.552632,7205,2"
358,"N2,8/15/12,137,1309.30383,481.935407,7115,2"
359,"N2,8/15/12,137,1274.85407,487.102871,7087,2"
360,"N2,8/15/12,137,1254.18421,395.811005,6935,2"
361,"N2,8/15/12,137,1278.29904,351.026316,6909,2"
362,"N2,8/15/12,137,1276.57656,282.126794,6894,2"
363,"N2,8/15/12,119,1307.58134,335.523923,4450,2"
364,"N2,8/15/12,119,1271.40909,399.255981,4367,2"
365,"N2,8/15/12,119,1262.79665,404.423445,4333,2"
366,"N2,8/15/12,119,1235.23684,394.088517,4293,2"
367,"N2,8/15/12,119,1202.50957,385.476077,4223,2"
368,"N2,8/15/12,119,1190.45215,344.136364,4199,2"
