"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant209","Ant252","Ant308","Ant311","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant263","Ant289","Ant298","Ant324","Ant342","Ant347","Ant356","Ant380","Ant390","Ant394","Ant395","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant530","Ant538","Ant560","Ant564"
"Ant437",2,9,7,0,6,5,3,11,18,0,13,0,1,0,3,39,1,12,2,10,8,3,0,2,1,6,0,13,11,1,2,2,4,6,20,0,0,14,12,0,0,11,3,1,0,0,11,6,20,21,1,28,0,9,0,8,1,11,0,5,27,29,1,2,21,0,0,10,0,19,25,17,6,0,0,13,8,3,0
"Ant458",11,33,0,0,3,26,0,11,3,1,1,0,20,0,3,13,2,10,1,2,7,14,0,0,0,0,0,5,7,3,3,2,9,0,9,0,0,6,6,0,0,11,3,0,0,0,0,23,17,68,0,20,0,5,0,2,0,4,0,1,5,16,0,5,13,0,0,10,19,0,2,16,0,0,0,12,20,1,0
"Ant462",0,12,3,0,4,0,26,6,17,6,13,1,0,1,7,17,1,4,11,1,9,0,5,24,7,0,0,15,6,2,10,2,7,8,0,2,1,1,5,0,2,9,12,0,5,8,10,4,7,9,3,4,4,4,1,1,0,0,1,14,24,27,1,11,6,2,1,2,25,2,0,6,1,2,0,1,5,1,0
"Ant475",2,5,2,0,5,0,5,7,23,2,6,0,2,0,0,15,11,5,0,2,8,3,2,0,0,2,0,2,2,0,3,0,7,5,2,0,2,10,3,0,0,4,8,0,1,9,3,3,18,9,0,5,0,2,0,2,1,5,1,0,4,15,0,2,9,2,1,9,17,16,6,0,4,0,0,8,8,6,0
"Ant482",1,1,1,1,3,0,0,0,5,0,2,2,2,0,7,3,10,10,0,2,1,0,3,0,1,5,0,0,3,2,0,0,1,0,0,0,0,20,6,0,0,1,3,0,0,3,0,7,6,0,1,1,0,12,0,1,0,11,1,2,5,0,0,1,2,0,1,0,6,0,1,4,0,1,0,1,4,12,1
"Ant492",1,1,6,4,0,0,0,0,0,1,0,30,0,24,10,0,0,1,9,0,0,0,6,1,0,1,13,1,0,55,2,21,1,3,0,7,6,1,0,0,6,0,2,0,4,0,1,0,0,2,12,0,11,0,18,3,1,0,31,6,5,0,1,9,0,2,2,0,0,0,2,0,1,0,0,0,0,2,17
"Ant501",0,0,2,4,0,0,5,0,0,3,0,14,0,0,2,0,0,0,1,1,1,0,1,1,1,0,13,1,0,3,3,3,2,0,0,12,26,0,0,0,0,0,0,0,1,1,0,1,0,0,5,0,15,0,11,3,1,1,14,0,5,0,0,0,0,28,4,0,0,0,0,0,0,0,0,0,0,0,13
"Ant530",8,44,2,1,11,22,0,10,2,0,34,0,21,0,1,11,1,15,0,15,16,18,0,0,0,4,0,3,13,1,2,0,16,3,33,0,0,2,4,43,0,11,1,25,1,3,7,41,21,7,0,17,0,9,1,1,1,13,0,8,4,31,0,2,9,1,0,20,13,12,1,8,1,0,0,0,10,0,0
"Ant538",4,9,5,1,5,7,2,6,28,1,22,0,2,5,2,24,8,8,0,8,17,2,0,5,5,2,2,19,5,2,5,0,11,8,4,0,0,16,12,0,2,32,4,0,0,8,9,10,13,5,0,6,1,3,2,4,3,6,0,4,16,26,4,5,11,0,14,22,8,20,5,8,4,0,0,10,0,14,0
"Ant560",18,5,8,0,2,1,1,1,1,0,0,4,0,0,7,5,3,1,0,1,1,1,1,0,8,2,0,1,0,0,5,0,5,10,1,0,0,13,4,0,0,5,6,0,0,2,1,0,1,2,0,10,4,3,0,1,10,0,0,0,4,2,0,0,2,0,2,1,3,1,1,6,12,2,0,0,14,0,0
"Ant564",0,0,0,6,0,1,4,0,0,3,0,12,0,12,4,0,0,1,5,1,0,0,0,0,0,0,26,0,0,14,0,6,1,0,0,2,4,0,0,0,12,0,5,0,12,0,1,0,0,0,2,0,18,0,6,1,0,0,6,0,0,0,13,7,0,18,2,1,0,0,0,0,1,17,13,0,0,0,0
