"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant73","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552","Ant593"
"Ant42",2,0,21,3,16,0,0,2,4,2,0,1,6,6,1,5,8,12,5,9,4,3,0,0,4,4,21,0,0,2,2,11,8,5,16,7,1,0,8,6,49,9,0,22,6,6,1,2,1,2,20,1,0,1,7,0,7,14,0,6,6,1,0,15,1,2,18,1,0,7,0,0,1,0,0
"Ant43",0,9,0,7,1,12,0,13,0,9,12,1,7,0,3,14,20,0,1,0,4,0,0,0,16,6,0,0,1,3,0,0,13,10,0,0,1,3,0,0,0,15,0,0,0,0,36,0,0,0,0,14,4,12,4,5,2,1,0,9,3,0,2,4,10,2,0,17,3,5,12,0,11,6,0
"Ant44",2,4,2,4,12,25,6,9,3,3,28,2,10,8,11,10,15,10,1,1,0,10,4,16,0,6,4,5,21,4,8,6,9,5,7,15,3,1,6,1,27,3,0,8,11,11,5,16,19,6,1,5,2,10,0,23,17,6,3,1,18,12,1,20,1,10,17,10,5,6,1,0,7,10,0
"Ant50",5,7,11,6,4,4,10,9,4,18,8,12,11,1,5,16,7,11,12,2,10,12,4,6,6,0,2,1,13,20,10,12,19,7,0,5,10,0,4,4,3,2,0,1,17,9,11,4,9,8,10,49,9,17,5,7,5,32,3,12,4,2,11,25,2,5,1,2,7,0,2,0,15,5,0
"Ant55",0,0,3,0,48,4,0,0,12,1,0,1,2,60,6,8,0,12,0,7,3,3,21,0,4,2,0,0,26,1,3,0,12,36,11,9,0,3,6,2,21,6,4,43,3,28,2,15,11,18,0,1,0,3,1,2,0,1,0,2,13,30,0,6,0,21,43,7,3,42,0,13,0,0,2
"Ant91",8,17,17,10,0,0,0,0,0,0,0,22,14,0,0,7,6,0,21,12,4,7,0,0,5,1,0,0,0,3,36,1,59,0,0,0,6,3,0,0,0,0,0,0,5,9,0,0,4,0,1,1,17,6,3,1,0,0,0,7,0,0,13,0,0,0,0,0,3,2,16,0,9,0,0
"Ant97",0,0,1,0,9,13,1,9,5,2,3,1,17,5,3,3,6,12,1,0,0,0,0,1,21,13,26,0,0,9,1,5,6,5,5,5,0,7,5,6,3,7,0,41,13,14,26,11,14,1,4,5,1,2,4,6,0,3,11,8,12,9,2,6,1,13,19,5,3,9,1,3,10,9,0
"Ant100",6,19,31,9,10,6,6,4,7,24,5,18,21,4,7,9,20,0,14,8,3,6,2,3,4,20,1,3,9,0,4,14,27,6,9,15,8,0,4,12,17,24,0,3,9,1,15,1,15,3,7,5,20,17,3,4,4,11,3,12,7,3,3,20,18,11,2,13,17,10,12,0,20,8,0
"Ant113",2,0,0,1,22,0,0,0,0,0,1,3,1,2,1,2,0,10,2,11,0,0,2,0,8,10,3,36,1,4,0,4,22,17,7,0,1,2,4,1,4,0,0,6,14,15,0,1,7,1,0,0,15,0,0,6,0,1,0,0,23,2,2,0,0,0,15,4,7,1,9,0,7,0,0
"Ant117",6,1,6,13,4,11,10,1,0,3,9,5,15,0,12,8,0,4,16,2,1,7,11,0,6,12,0,1,5,14,4,0,14,3,5,3,7,2,0,19,2,16,0,0,4,2,10,1,18,1,10,7,6,6,1,2,4,3,3,9,5,0,5,5,10,2,2,1,1,0,5,0,3,3,0
"Ant137",12,23,5,3,13,13,3,10,7,12,2,5,14,2,1,12,12,10,6,3,5,7,8,13,9,19,12,59,6,27,22,14,0,7,17,11,5,1,12,14,4,3,0,1,28,24,12,7,12,11,4,19,15,8,6,12,3,10,2,8,4,8,3,10,3,15,3,17,8,1,12,0,3,12,0
